Age,Education_Level,Occupation,Number_of_Dependents,Location,Work_Experience,Marital_Status,Employment_Status,Household_Size,Homeownership_Status,Type_of_Housing,Gender,Primary_Mode_of_Transportation,Income
42,Master's,Finance,0,Suburban,17,Married,Self-employed,5,Rent,Apartment,Female,Car,2.500011012764324
63,Bachelor's,Healthcare,1,Suburban,46,Married,Part-time,2,Own,Apartment,Female,Public transit,2.494077021206084
57,Bachelor's,Finance,1,Urban,11,Single,Self-employed,6,Rent,Single-family home,Male,Public transit,2.5001821350672344
46,Master's,Education,3,Rural,37,Single,Full-time,3,Rent,Apartment,Female,Walking,2.5007554249254382
24,Master's,Technology,2,Suburban,31,Married,Self-employed,1,Own,Single-family home,Male,Car,2.4620064873627046
57,High School,Healthcare,0,Urban,48,Married,Part-time,5,Own,Apartment,Female,Car,2.5026772017096572
30,High School,Others,1,Urban,22,Single,Self-employed,7,Own,Single-family home,Male,Biking,2.496190991479638
55,Bachelor's,Others,0,Urban,3,Single,Part-time,7,Rent,Townhouse,Male,Public transit,2.5029061978585125
35,Bachelor's,Others,1,Rural,11,Divorced,Full-time,1,Own,Single-family home,Male,Public transit,2.6195665450799543
19,Doctorate,Healthcare,4,Urban,16,Married,Part-time,3,Rent,Apartment,Female,Car,2.7209572759124243
25,High School,Finance,4,Urban,20,Married,Self-employed,5,Own,Apartment,Male,Biking,2.5027609537540765
28,High School,Technology,0,Urban,36,Single,Full-time,4,Rent,Single-family home,Female,Car,2.4947531373767
50,Master's,Finance,3,Rural,28,Married,Self-employed,4,Own,Apartment,Female,Public transit,2.5016581765545753
55,Master's,Healthcare,3,Urban,5,Single,Full-time,2,Rent,Single-family home,Male,Public transit,2.462503822827795
65,Doctorate,Finance,1,Urban,46,Married,Full-time,5,Own,Single-family home,Female,Car,2.442221220209891
44,Bachelor's,Others,5,Urban,27,Married,Full-time,7,Rent,Apartment,Female,Car,2.5024475104643535
37,Bachelor's,Healthcare,4,Urban,7,Married,Self-employed,5,Own,Apartment,Male,Car,2.4993848477022476
29,High School,Healthcare,4,Urban,30,Single,Full-time,2,Rent,Townhouse,Male,Car,2.727642461140678
60,High School,Healthcare,0,Urban,19,Married,Part-time,6,Rent,Single-family home,Male,Walking,2.493335033558558
48,Bachelor's,Healthcare,5,Urban,15,Married,Part-time,1,Rent,Single-family home,Female,Public transit,2.503285595245738
44,Bachelor's,Technology,0,Urban,12,Married,Full-time,2,Own,Apartment,Female,Car,2.494809414502453
49,High School,Finance,3,Urban,14,Married,Full-time,6,Rent,Single-family home,Female,Walking,2.6738246341104217
27,Master's,Healthcare,3,Urban,12,Single,Full-time,5,Own,Townhouse,Male,Car,2.501313186006591
20,High School,Technology,5,Rural,46,Married,Part-time,6,Own,Townhouse,Female,Walking,2.502864413734512
62,Master's,Technology,5,Urban,1,Married,Full-time,4,Own,Apartment,Male,Car,2.5989702730934447
44,High School,Healthcare,3,Urban,19,Single,Full-time,1,Own,Single-family home,Female,Biking,2.4954524193008587
52,Master's,Technology,2,Urban,27,Married,Self-employed,6,Own,Townhouse,Male,Car,2.495459695080587
48,High School,Healthcare,4,Urban,17,Married,Self-employed,7,Own,Apartment,Male,Walking,2.503182710095758
32,Master's,Technology,4,Urban,6,Married,Part-time,5,Own,Single-family home,Female,Car,2.500070378891013
33,High School,Healthcare,0,Urban,20,Single,Part-time,7,Own,Townhouse,Female,Public transit,2.498296920788631
30,Bachelor's,Finance,4,Suburban,40,Single,Full-time,3,Own,Townhouse,Female,Car,2.4856447332746447
66,Master's,Healthcare,0,Urban,38,Divorced,Part-time,7,Rent,Single-family home,Male,Public transit,2.784532852166238
52,High School,Others,5,Urban,8,Married,Self-employed,4,Rent,Single-family home,Female,Public transit,2.503095037891536
69,High School,Finance,5,Rural,43,Single,Self-employed,4,Own,Apartment,Male,Biking,2.5028468135129778
28,Master's,Education,2,Urban,9,Married,Full-time,2,Own,Single-family home,Male,Biking,2.5031038096862455
38,Master's,Education,5,Suburban,30,Single,Full-time,5,Rent,Townhouse,Female,Biking,2.7480533434297527
68,High School,Healthcare,3,Urban,41,Married,Self-employed,5,Own,Apartment,Male,Car,2.4943284987929886
28,High School,Finance,2,Urban,12,Single,Full-time,7,Own,Single-family home,Male,Car,2.4988138314895516
47,High School,Education,3,Urban,4,Divorced,Part-time,7,Own,Single-family home,Male,Public transit,2.4974156939661794
65,High School,Finance,3,Urban,39,Single,Full-time,2,Rent,Apartment,Female,Public transit,2.743799668511741
70,Doctorate,Healthcare,0,Rural,41,Married,Self-employed,5,Rent,Apartment,Male,Biking,2.500480105645995
52,Bachelor's,Healthcare,3,Urban,37,Married,Full-time,5,Own,Townhouse,Female,Biking,2.4999584578191087
39,Bachelor's,Education,2,Urban,42,Single,Part-time,6,Rent,Townhouse,Male,Car,2.680768618707853
55,Doctorate,Healthcare,1,Urban,35,Single,Full-time,4,Rent,Single-family home,Male,Public transit,2.497861109252031
48,Bachelor's,Technology,5,Urban,1,Single,Full-time,1,Rent,Townhouse,Female,Public transit,2.8162981683480415
31,Bachelor's,Healthcare,0,Suburban,5,Divorced,Part-time,3,Own,Apartment,Male,Biking,2.5240154284015768
41,Bachelor's,Others,5,Urban,12,Married,Full-time,3,Rent,Townhouse,Female,Public transit,2.454733265806506
67,Bachelor's,Finance,3,Suburban,28,Married,Full-time,1,Rent,Townhouse,Male,Public transit,2.4988648658065142
66,Bachelor's,Healthcare,3,Suburban,43,Single,Full-time,3,Rent,Apartment,Male,Public transit,2.6356213115879155
49,High School,Technology,4,Urban,13,Single,Full-time,1,Rent,Single-family home,Female,Car,2.498231474347361
53,High School,Technology,0,Urban,29,Married,Self-employed,5,Own,Apartment,Male,Public transit,2.497856409499088
49,High School,Finance,0,Urban,24,Married,Full-time,2,Own,Apartment,Female,Car,2.498857908600712
32,High School,Education,2,Urban,39,Married,Self-employed,6,Own,Townhouse,Male,Public transit,2.496858206987429
60,Bachelor's,Healthcare,1,Urban,34,Married,Full-time,5,Own,Townhouse,Male,Public transit,2.517069314676661
52,Bachelor's,Healthcare,2,Rural,36,Married,Full-time,7,Own,Apartment,Male,Car,2.763923992415489
20,Bachelor's,Technology,2,Urban,6,Single,Part-time,2,Rent,Single-family home,Male,Public transit,2.5019236880719204
33,High School,Others,2,Urban,49,Married,Full-time,7,Own,Townhouse,Male,Car,2.5032396425811947
22,Bachelor's,Others,1,Urban,37,Married,Part-time,1,Own,Apartment,Female,Public transit,2.500414243525089
38,High School,Healthcare,2,Urban,17,Married,Full-time,7,Own,Single-family home,Male,Car,2.4918672077580837
27,Bachelor's,Finance,5,Urban,7,Married,Part-time,5,Own,Single-family home,Male,Public transit,2.492437040055847
36,Master's,Others,0,Urban,6,Married,Self-employed,7,Rent,Apartment,Female,Car,2.5064431462846324
42,High School,Healthcare,1,Urban,33,Married,Self-employed,1,Rent,Single-family home,Male,Car,2.49514377221639
21,Master's,Finance,3,Urban,35,Single,Part-time,6,Rent,Apartment,Male,Public transit,2.730591756709943
46,Master's,Technology,4,Urban,40,Married,Part-time,6,Rent,Single-family home,Male,Walking,2.767982916637549
36,High School,Technology,4,Rural,47,Divorced,Full-time,7,Own,Apartment,Male,Public transit,2.7721498522376296
60,High School,Technology,5,Urban,50,Married,Part-time,4,Own,Apartment,Female,Car,2.4954257354949263
19,Doctorate,Others,0,Suburban,9,Single,Self-employed,7,Rent,Apartment,Male,Biking,2.496948631210514
27,High School,Healthcare,4,Urban,39,Married,Full-time,6,Own,Apartment,Male,Public transit,2.4988439922766346
60,Master's,Finance,5,Suburban,28,Single,Part-time,6,Rent,Apartment,Male,Walking,2.6528377719603995
42,Bachelor's,Healthcare,5,Urban,15,Single,Part-time,1,Own,Apartment,Female,Public transit,2.657250284823204
37,High School,Education,4,Suburban,24,Married,Part-time,6,Rent,Apartment,Female,Walking,2.7279317726186423
65,High School,Others,4,Suburban,28,Married,Part-time,5,Rent,Apartment,Male,Car,2.7638441688823443
36,Bachelor's,Finance,5,Suburban,7,Single,Full-time,2,Own,Apartment,Female,Public transit,2.7493116947444567
40,Bachelor's,Education,5,Suburban,19,Married,Part-time,4,Own,Apartment,Male,Car,2.4432245608118737
41,Bachelor's,Technology,3,Urban,35,Married,Full-time,5,Rent,Apartment,Male,Public transit,2.69623868728879
28,Master's,Healthcare,4,Urban,26,Married,Part-time,5,Own,Single-family home,Male,Public transit,2.500125137184255
63,Master's,Healthcare,2,Urban,12,Single,Full-time,5,Own,Apartment,Male,Car,2.503700093065165
51,High School,Finance,5,Urban,25,Single,Self-employed,7,Own,Apartment,Male,Public transit,2.5000931996508178
45,Master's,Technology,0,Urban,41,Single,Self-employed,4,Own,Single-family home,Male,Biking,2.5006682920024703
22,Master's,Technology,0,Urban,24,Single,Part-time,5,Own,Apartment,Male,Public transit,2.493519342262204
22,Master's,Technology,5,Urban,27,Married,Full-time,6,Own,Single-family home,Female,Public transit,2.494608584040663
68,Bachelor's,Education,0,Urban,8,Married,Self-employed,2,Rent,Apartment,Male,Public transit,2.446781901388057
38,Master's,Healthcare,3,Urban,25,Single,Self-employed,6,Own,Single-family home,Male,Walking,2.4958756818409342
29,Bachelor's,Education,3,Urban,11,Single,Part-time,5,Own,Apartment,Female,Car,2.529759017949635
67,Bachelor's,Others,5,Urban,25,Divorced,Self-employed,3,Rent,Townhouse,Female,Public transit,2.7607747048817575
21,Doctorate,Others,4,Urban,46,Married,Full-time,1,Own,Apartment,Male,Walking,2.4354016314408065
66,High School,Education,2,Rural,21,Married,Part-time,7,Rent,Single-family home,Female,Biking,2.4954839426620152
59,High School,Healthcare,4,Suburban,0,Married,Part-time,3,Own,Single-family home,Male,Car,2.4947678223722125
37,Master's,Technology,0,Urban,11,Single,Full-time,6,Rent,Single-family home,Female,Biking,2.494828979419384
55,High School,Finance,2,Urban,23,Divorced,Part-time,2,Own,Apartment,Male,Biking,2.4999813122692167
42,Master's,Healthcare,0,Urban,29,Single,Part-time,2,Rent,Apartment,Male,Biking,2.5887201816738656
31,Master's,Technology,2,Urban,13,Married,Full-time,1,Rent,Single-family home,Male,Public transit,2.7763961768183396
28,High School,Others,5,Urban,22,Single,Part-time,2,Rent,Townhouse,Male,Car,2.5034079993513423
49,Bachelor's,Technology,1,Rural,1,Married,Full-time,2,Own,Apartment,Male,Public transit,2.5029259822865306
28,Master's,Education,3,Rural,2,Married,Part-time,5,Rent,Apartment,Female,Car,2.4977717642177635
35,Bachelor's,Technology,3,Suburban,5,Married,Part-time,1,Own,Townhouse,Male,Public transit,2.8041041242993363
44,Master's,Healthcare,5,Urban,18,Single,Full-time,7,Own,Apartment,Male,Public transit,2.4945104256422335
35,Master's,Healthcare,0,Urban,20,Married,Part-time,3,Rent,Townhouse,Female,Car,2.8222797955912595
40,Bachelor's,Others,0,Urban,44,Single,Full-time,5,Own,Single-family home,Male,Biking,2.4971671089044816
28,High School,Healthcare,1,Urban,19,Divorced,Part-time,5,Own,Apartment,Male,Public transit,2.816359783424264
38,Master's,Education,4,Urban,20,Married,Full-time,3,Own,Apartment,Female,Car,2.501642529204812
61,Bachelor's,Technology,2,Urban,39,Single,Full-time,2,Own,Single-family home,Female,Public transit,2.501065798843881
22,High School,Others,5,Suburban,3,Single,Full-time,4,Own,Single-family home,Male,Public transit,2.4946625173382286
40,Master's,Finance,1,Suburban,24,Single,Self-employed,7,Rent,Townhouse,Female,Public transit,2.5011760983475817
58,Master's,Healthcare,5,Urban,50,Married,Full-time,6,Rent,Apartment,Male,Public transit,2.6801016034427754
42,Bachelor's,Technology,1,Suburban,6,Married,Full-time,7,Own,Single-family home,Female,Car,2.4994700158503123
58,Bachelor's,Technology,0,Urban,6,Single,Full-time,4,Rent,Single-family home,Female,Walking,2.6619233619282285
27,Bachelor's,Technology,0,Urban,32,Divorced,Full-time,6,Rent,Single-family home,Female,Public transit,2.4964595374522327
39,Master's,Technology,4,Urban,50,Single,Full-time,7,Own,Apartment,Female,Car,2.4919002473193252
36,Master's,Healthcare,5,Urban,25,Single,Full-time,2,Rent,Single-family home,Female,Car,2.6911109004760316
18,Doctorate,Others,5,Urban,16,Single,Full-time,7,Rent,Apartment,Male,Biking,2.7459230564654407
24,Bachelor's,Technology,4,Urban,7,Single,Full-time,5,Rent,Single-family home,Female,Public transit,2.5152528568218813
21,Master's,Education,0,Rural,25,Married,Full-time,3,Rent,Apartment,Female,Public transit,2.559366709473069
18,Doctorate,Technology,3,Urban,14,Married,Full-time,4,Own,Apartment,Female,Public transit,2.602307603254614
32,High School,Healthcare,4,Rural,19,Single,Part-time,5,Own,Apartment,Female,Car,2.4992373038342235
57,High School,Technology,1,Urban,18,Single,Part-time,4,Own,Single-family home,Male,Public transit,2.491734906507393
29,Master's,Healthcare,0,Urban,6,Single,Part-time,3,Rent,Apartment,Female,Public transit,2.498362310903467
39,High School,Education,5,Urban,44,Single,Part-time,5,Own,Townhouse,Female,Public transit,2.498212765005362
39,High School,Finance,5,Urban,0,Single,Full-time,7,Rent,Apartment,Male,Car,2.501983800831519
67,High School,Finance,2,Urban,38,Single,Part-time,7,Rent,Single-family home,Male,Biking,2.7656460101504554
64,Bachelor's,Healthcare,2,Urban,36,Single,Self-employed,1,Rent,Apartment,Male,Public transit,2.7642569908547836
34,High School,Technology,3,Suburban,17,Married,Part-time,5,Own,Single-family home,Male,Walking,2.7968769267315357
46,Bachelor's,Technology,5,Urban,7,Single,Full-time,1,Rent,Single-family home,Female,Public transit,2.5012008374099843
63,Doctorate,Education,0,Urban,14,Married,Part-time,2,Rent,Townhouse,Male,Car,2.4916253303160314
31,Master's,Healthcare,5,Urban,49,Single,Part-time,3,Own,Single-family home,Female,Car,2.5020838828333645
67,Master's,Finance,5,Suburban,5,Married,Full-time,4,Own,Townhouse,Female,Car,2.5030643285969862
37,High School,Healthcare,1,Urban,36,Married,Part-time,2,Own,Townhouse,Female,Biking,2.4961140897250664
67,Master's,Others,3,Urban,21,Married,Part-time,2,Rent,Single-family home,Female,Public transit,2.4973873253374816
65,Master's,Technology,1,Urban,10,Single,Full-time,6,Own,Apartment,Female,Biking,2.4960058150382047
50,Bachelor's,Others,2,Urban,25,Single,Full-time,6,Own,Apartment,Male,Public transit,2.4973400207584113
60,High School,Healthcare,1,Rural,7,Married,Self-employed,5,Own,Apartment,Female,Biking,2.572763210793206
32,Bachelor's,Finance,2,Urban,8,Married,Part-time,5,Own,Townhouse,Female,Public transit,2.501463472410699
29,Master's,Healthcare,4,Suburban,12,Single,Full-time,6,Rent,Apartment,Male,Biking,2.5021749536216347
57,Bachelor's,Finance,2,Urban,2,Divorced,Part-time,6,Rent,Single-family home,Female,Walking,2.501591093713105
37,Master's,Education,5,Urban,2,Married,Self-employed,1,Rent,Single-family home,Male,Car,2.820674762768745
47,Bachelor's,Technology,2,Rural,6,Married,Self-employed,1,Rent,Apartment,Female,Walking,2.4664824196157378
55,Bachelor's,Healthcare,5,Urban,2,Single,Full-time,2,Rent,Apartment,Male,Biking,2.5027466343170754
20,Master's,Healthcare,3,Suburban,10,Single,Part-time,2,Rent,Apartment,Female,Public transit,2.5019548636079336
45,High School,Technology,5,Urban,45,Married,Part-time,5,Rent,Apartment,Female,Walking,2.449173785627131
43,Bachelor's,Technology,5,Urban,27,Married,Part-time,5,Own,Single-family home,Female,Car,2.4944318078336947
47,Doctorate,Technology,5,Urban,41,Single,Part-time,7,Own,Apartment,Male,Public transit,2.5435723748458985
30,Master's,Healthcare,3,Rural,30,Married,Full-time,7,Rent,Single-family home,Male,Car,2.747094584034738
30,High School,Healthcare,0,Suburban,8,Married,Self-employed,4,Own,Single-family home,Male,Public transit,2.500191250754893
19,High School,Finance,0,Urban,26,Single,Self-employed,3,Own,Townhouse,Male,Car,2.502910594845217
54,Bachelor's,Finance,2,Urban,11,Married,Full-time,4,Rent,Townhouse,Female,Public transit,2.492929986651614
66,Master's,Education,4,Urban,7,Single,Full-time,3,Rent,Apartment,Male,Biking,2.8090332775676705
55,Bachelor's,Technology,0,Urban,43,Married,Part-time,2,Own,Townhouse,Male,Biking,2.5322051802477583
19,Bachelor's,Finance,2,Urban,40,Single,Full-time,5,Own,Townhouse,Male,Public transit,2.8102487323568983
53,High School,Others,3,Urban,21,Married,Part-time,4,Own,Apartment,Male,Car,2.5949393758078343
43,Master's,Healthcare,0,Suburban,17,Single,Full-time,6,Own,Townhouse,Male,Car,2.5034123672643376
28,Master's,Finance,0,Suburban,29,Married,Full-time,3,Rent,Single-family home,Male,Walking,2.4967652912899134
25,Doctorate,Education,5,Suburban,48,Married,Self-employed,7,Rent,Apartment,Female,Public transit,2.494000427156978
61,Bachelor's,Finance,5,Rural,10,Married,Part-time,6,Own,Townhouse,Female,Biking,2.7783880756698047
57,Master's,Education,2,Urban,1,Divorced,Full-time,6,Own,Apartment,Female,Walking,2.454882716167642
60,Bachelor's,Technology,5,Suburban,28,Single,Part-time,1,Own,Apartment,Male,Biking,2.77606410394147
39,Bachelor's,Technology,2,Urban,25,Married,Part-time,3,Own,Apartment,Male,Public transit,2.4931827680469465
37,Master's,Education,1,Rural,50,Single,Full-time,3,Own,Single-family home,Female,Public transit,2.5016492356076765
25,High School,Technology,1,Urban,13,Divorced,Self-employed,6,Rent,Apartment,Female,Biking,2.6575815880551805
46,Bachelor's,Finance,4,Urban,27,Married,Full-time,5,Own,Single-family home,Female,Public transit,2.5019793496706995
57,Master's,Technology,0,Suburban,34,Married,Self-employed,4,Rent,Single-family home,Female,Public transit,2.499619404525472
43,Bachelor's,Healthcare,1,Rural,5,Single,Full-time,2,Rent,Townhouse,Male,Biking,2.5694703419933997
47,High School,Healthcare,2,Suburban,35,Single,Part-time,4,Rent,Apartment,Male,Public transit,2.503806622300039
34,Bachelor's,Technology,5,Suburban,11,Single,Part-time,2,Rent,Townhouse,Female,Public transit,2.542555910527243
37,Bachelor's,Finance,5,Urban,33,Married,Self-employed,6,Own,Townhouse,Male,Public transit,2.4951121077639984
69,Master's,Finance,0,Suburban,5,Single,Full-time,7,Own,Single-family home,Male,Public transit,2.5019080954894255
33,High School,Education,1,Suburban,36,Single,Full-time,1,Own,Apartment,Male,Public transit,2.5035389271115873
63,Master's,Technology,4,Suburban,36,Married,Self-employed,6,Own,Townhouse,Male,Public transit,2.648650442117801
60,High School,Healthcare,4,Urban,7,Married,Full-time,6,Own,Apartment,Female,Walking,2.6062269767909476
24,High School,Others,4,Urban,36,Single,Self-employed,5,Rent,Single-family home,Male,Public transit,2.6424588471220853
33,High School,Healthcare,4,Urban,39,Divorced,Full-time,3,Rent,Single-family home,Female,Car,2.6324673263522587
62,Master's,Education,5,Urban,32,Single,Part-time,6,Rent,Townhouse,Female,Car,2.59905179401017
64,High School,Technology,5,Rural,40,Single,Part-time,4,Rent,Single-family home,Male,Car,2.5380871730719243
65,Master's,Others,5,Urban,45,Married,Full-time,4,Own,Apartment,Male,Walking,2.501108587097878
44,Bachelor's,Healthcare,2,Urban,30,Married,Self-employed,2,Own,Townhouse,Male,Walking,2.618008434981682
70,Doctorate,Education,4,Rural,33,Divorced,Part-time,7,Own,Single-family home,Male,Car,2.4971576229120354
40,Master's,Technology,3,Urban,10,Married,Full-time,4,Rent,Townhouse,Male,Car,2.837481584336308
41,Master's,Technology,5,Urban,35,Divorced,Full-time,7,Own,Single-family home,Female,Public transit,2.4961861873952
26,Master's,Healthcare,4,Urban,3,Single,Full-time,3,Own,Apartment,Female,Public transit,2.672835680676986
52,Bachelor's,Technology,1,Urban,16,Married,Part-time,2,Own,Apartment,Male,Public transit,2.494409681961942
68,Master's,Technology,0,Urban,15,Divorced,Full-time,3,Rent,Single-family home,Male,Public transit,2.4931702737887167
37,High School,Finance,5,Suburban,29,Single,Full-time,6,Own,Apartment,Female,Public transit,2.5015306683181557
54,High School,Healthcare,5,Urban,38,Single,Self-employed,7,Own,Apartment,Female,Public transit,2.4970104385447156
59,Bachelor's,Healthcare,1,Urban,43,Single,Full-time,2,Rent,Apartment,Male,Car,2.7368320198922893
34,Bachelor's,Finance,0,Urban,48,Married,Self-employed,3,Rent,Apartment,Male,Car,2.494409681961942
64,Bachelor's,Finance,2,Urban,4,Married,Self-employed,2,Rent,Townhouse,Female,Public transit,2.8389339322244918
48,Bachelor's,Finance,5,Urban,39,Married,Self-employed,5,Rent,Single-family home,Male,Biking,2.4968058069560253
25,Bachelor's,Finance,0,Urban,36,Married,Full-time,4,Rent,Townhouse,Male,Public transit,2.499359509001512
32,Bachelor's,Healthcare,3,Suburban,42,Married,Self-employed,3,Rent,Single-family home,Female,Biking,2.5009801497923174
48,High School,Healthcare,5,Urban,25,Married,Full-time,7,Rent,Single-family home,Male,Public transit,2.519269948380047
70,Doctorate,Healthcare,4,Urban,27,Married,Full-time,1,Own,Apartment,Male,Biking,2.511856873100625
47,Master's,Others,1,Urban,18,Married,Self-employed,6,Own,Apartment,Male,Public transit,2.503305280700731
63,Master's,Technology,0,Urban,20,Married,Full-time,5,Rent,Apartment,Female,Public transit,2.800212950735963
37,Bachelor's,Healthcare,1,Urban,27,Single,Part-time,5,Own,Townhouse,Female,Car,2.5030709102097277
56,Bachelor's,Healthcare,4,Urban,18,Single,Full-time,6,Own,Apartment,Male,Public transit,2.4938643449313362
70,Doctorate,Others,2,Rural,35,Married,Full-time,3,Rent,Single-family home,Female,Car,2.492500093204635
29,Master's,Finance,4,Urban,10,Single,Part-time,3,Own,Single-family home,Female,Biking,2.498662847619419
66,Master's,Others,2,Urban,18,Single,Self-employed,7,Own,Apartment,Male,Car,2.4997753739359756
34,Bachelor's,Education,1,Suburban,4,Married,Full-time,1,Rent,Single-family home,Male,Car,2.4945128811430246
59,Bachelor's,Technology,2,Urban,1,Married,Full-time,6,Own,Apartment,Female,Public transit,2.646163857453549
47,Master's,Healthcare,5,Urban,24,Single,Full-time,3,Rent,Single-family home,Female,Biking,2.678075457793717
46,High School,Healthcare,2,Urban,50,Married,Full-time,6,Rent,Apartment,Male,Car,2.615001071373899
36,Bachelor's,Healthcare,2,Rural,25,Married,Full-time,1,Own,Single-family home,Male,Car,2.501736364850968
63,Master's,Healthcare,5,Rural,29,Married,Full-time,3,Own,Apartment,Male,Public transit,2.70892473631077
28,Master's,Technology,2,Urban,16,Married,Part-time,1,Own,Townhouse,Male,Car,2.4990154489532466
51,Bachelor's,Others,5,Urban,20,Married,Full-time,2,Rent,Apartment,Male,Public transit,2.4987952650495413
67,Bachelor's,Healthcare,5,Urban,19,Single,Part-time,4,Own,Townhouse,Female,Public transit,2.5032352646804243
24,Doctorate,Others,2,Urban,17,Single,Full-time,4,Rent,Single-family home,Female,Car,2.4939633378911723
61,Bachelor's,Education,5,Urban,46,Single,Self-employed,3,Own,Apartment,Male,Public transit,2.501113089719539
51,Master's,Education,0,Urban,15,Single,Full-time,3,Own,Townhouse,Female,Biking,2.493700725199463
37,Master's,Education,2,Suburban,27,Divorced,Full-time,7,Own,Apartment,Female,Car,2.501196339999354
67,Master's,Education,2,Urban,11,Married,Self-employed,4,Own,Single-family home,Male,Public transit,2.496363736905382
55,Master's,Healthcare,4,Urban,39,Married,Full-time,7,Own,Townhouse,Female,Public transit,2.4610817220134242
41,Bachelor's,Technology,4,Suburban,5,Single,Self-employed,4,Rent,Apartment,Male,Public transit,2.491617679600955
27,Bachelor's,Finance,4,Suburban,23,Single,Full-time,1,Own,Apartment,Male,Public transit,2.5017341320194393
49,Bachelor's,Finance,2,Urban,49,Single,Part-time,1,Own,Townhouse,Female,Public transit,2.6293335958723856
69,High School,Education,4,Rural,42,Divorced,Full-time,2,Rent,Apartment,Female,Car,2.5020949948940054
32,High School,Finance,0,Urban,5,Married,Part-time,7,Rent,Single-family home,Female,Public transit,2.478138998806746
54,High School,Technology,1,Urban,16,Married,Full-time,2,Own,Townhouse,Male,Car,2.497245323230865
37,Master's,Others,4,Urban,41,Married,Full-time,1,Own,Apartment,Female,Biking,2.4943383437816085
20,High School,Education,5,Urban,18,Married,Part-time,2,Own,Apartment,Female,Biking,2.4695454883546266
54,High School,Others,4,Urban,46,Married,Full-time,5,Rent,Single-family home,Male,Public transit,2.556401624454476
57,High School,Finance,0,Urban,47,Single,Part-time,7,Rent,Apartment,Female,Car,2.733335702461937
25,Bachelor's,Finance,5,Urban,27,Married,Part-time,6,Own,Single-family home,Male,Public transit,2.4992534554200034
57,High School,Healthcare,5,Urban,28,Married,Part-time,7,Own,Townhouse,Female,Public transit,2.4930527277003818
61,Bachelor's,Technology,5,Urban,48,Married,Full-time,1,Rent,Single-family home,Male,Public transit,2.4920576244063155
40,High School,Technology,5,Urban,6,Married,Full-time,2,Own,Apartment,Female,Car,2.5211622390361565
57,Master's,Healthcare,3,Urban,18,Married,Part-time,2,Own,Townhouse,Female,Car,2.5030840717174847
28,Doctorate,Education,3,Urban,7,Single,Self-employed,3,Own,Single-family home,Female,Public transit,2.45246329618006
63,Doctorate,Others,5,Urban,7,Married,Part-time,3,Own,Single-family home,Female,Biking,2.5033599356495864
25,Bachelor's,Education,5,Rural,4,Single,Part-time,3,Own,Single-family home,Male,Biking,2.6609046391058677
46,Bachelor's,Healthcare,5,Suburban,42,Divorced,Part-time,4,Own,Single-family home,Female,Biking,2.5017162669970445
47,Bachelor's,Technology,0,Urban,33,Single,Part-time,6,Rent,Townhouse,Female,Biking,2.4940523218508703
27,Bachelor's,Healthcare,4,Urban,49,Married,Self-employed,4,Rent,Apartment,Male,Walking,2.765584536434941
56,Bachelor's,Technology,1,Urban,20,Single,Full-time,4,Own,Townhouse,Female,Car,2.5390686502787783
45,High School,Technology,5,Urban,3,Single,Full-time,1,Own,Apartment,Female,Public transit,2.4442879443699748
66,Master's,Education,4,Urban,43,Married,Self-employed,3,Own,Single-family home,Female,Car,2.4919992803902775
53,High School,Finance,0,Urban,35,Divorced,Full-time,3,Own,Apartment,Female,Car,2.500765602759055
30,Bachelor's,Healthcare,0,Urban,4,Married,Part-time,1,Own,Apartment,Female,Public transit,2.6503522334779936
49,Bachelor's,Others,5,Urban,48,Single,Part-time,4,Rent,Single-family home,Male,Public transit,2.4562614481446254
53,Bachelor's,Others,2,Urban,22,Married,Part-time,6,Own,Single-family home,Female,Public transit,2.4999698859048336
54,Master's,Healthcare,0,Urban,18,Single,Part-time,2,Own,Single-family home,Female,Public transit,2.4968629688375192
43,Bachelor's,Finance,2,Rural,41,Married,Full-time,5,Rent,Single-family home,Male,Car,2.4972903192599243
39,Bachelor's,Technology,0,Urban,45,Single,Part-time,3,Rent,Apartment,Male,Car,2.7018448446757466
21,Bachelor's,Technology,2,Urban,14,Married,Part-time,4,Own,Apartment,Female,Car,2.499036275410033
48,High School,Healthcare,2,Urban,13,Single,Self-employed,2,Own,Single-family home,Female,Public transit,2.494503058665335
35,Bachelor's,Education,5,Urban,47,Single,Full-time,3,Own,Townhouse,Female,Public transit,2.4970508238965547
55,Doctorate,Others,5,Urban,7,Married,Full-time,3,Own,Single-family home,Male,Public transit,2.501409672737132
41,Doctorate,Healthcare,4,Urban,8,Divorced,Full-time,5,Rent,Townhouse,Male,Car,2.50274332944674
40,Master's,Healthcare,2,Urban,39,Single,Part-time,4,Rent,Apartment,Female,Public transit,2.5601452473306168
39,High School,Healthcare,3,Suburban,10,Single,Full-time,6,Own,Townhouse,Female,Public transit,2.5026816120238125
19,High School,Technology,0,Urban,43,Married,Full-time,1,Rent,Apartment,Female,Car,2.7771324621784426
48,Bachelor's,Others,5,Urban,45,Married,Full-time,2,Own,Single-family home,Male,Biking,2.503774027250695
28,Master's,Technology,1,Rural,17,Divorced,Self-employed,7,Own,Townhouse,Male,Public transit,2.4948143062025157
45,Master's,Healthcare,0,Urban,31,Single,Full-time,7,Own,Single-family home,Male,Public transit,2.498625636278786
63,Master's,Education,4,Urban,43,Single,Full-time,2,Own,Apartment,Female,Public transit,2.503092844783908
